,Unnamed: 0,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,W2VSimilarity,CosineSimilarity
0,95,clean,burn,physical-positive,physical-negative,ConceptualMatchingOnly,0.22306158,0.40746564
1,30,caress,rust,physical-positive,physical-negative,ConceptualMatchingOnly,0.12528887,0.23272629
2,158,reassure,criticize,psychological-positive,psychological-negative,ConceptualMatchingOnly,0.2676497,0.31773087
3,115,encourage,embarrass,psychological-positive,psychological-negative,ConceptualMatchingOnly,0.29861936,0.2454176
4,69,sculpt,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,0.17869148,0.18663168
5,170,admire,offend,psychological-positive,psychological-negative,ConceptualMatchingOnly,0.2423227,0.19858313
6,182,adore,irritate,psychological-positive,psychological-negative,ConceptualMatchingOnly,0.34906262,0.23884083
7,78,twinkle,delete,physical-positive,physical-negative,ConceptualMatchingOnly,0.08800627,0.1422649
8,56,produce,hit,physical-positive,physical-negative,ConceptualMatchingOnly,0.15564848,0.22935823
9,82,decorate,slash,physical-positive,physical-negative,ConceptualMatchingOnly,0.18462452,0.22558127
10,101,slaughter,tear,physical-negative,physical-negative,MaxMatch,0.11318354,0.33114493
11,92,rust,crash,physical-negative,physical-negative,MaxMatch,0.1406573,0.34079742
12,17,repair,caress,physical-positive,physical-positive,MaxMatch,0.049025513,0.20110899
13,79,like,cherish,psychological-positive,psychological-positive,MaxMatch,0.2407748,0.21065393
14,150,despair,criticize,psychological-negative,psychological-negative,MaxMatch,0.114575624,0.35582283
15,67,appreciate,adore,psychological-positive,psychological-positive,MaxMatch,0.50976783,0.46122313
16,80,reassure,respect,psychological-positive,psychological-positive,MaxMatch,0.17458427,0.31691244
17,162,displease,dismay,psychological-negative,psychological-negative,MaxMatch,0.34212443,0.3062837
18,0,cuddle,build,physical-positive,physical-positive,MaxMatch,0.095417164,0.18042557
19,38,produce,clean,physical-positive,physical-positive,MaxMatch,0.17463537,0.29032928
20,135,impress,burn,psychological-positive,physical-negative,MaxMismatch,0.12783402,0.22104418
21,73,twinkle,displease,physical-positive,psychological-negative,MaxMismatch,0.11213655,0.19354603
22,157,reassure,stain,psychological-positive,physical-negative,MaxMismatch,0.031311993,0.1311399
23,28,repair,criticize,physical-positive,psychological-negative,MaxMismatch,0.065742984,0.1603576
24,54,produce,dishonor,physical-positive,psychological-negative,MaxMismatch,-2.8881059e-05,0.1920328
25,114,encourage,tear,psychological-positive,physical-negative,MaxMismatch,0.085036665,0.17441949
26,180,adore,rust,psychological-positive,physical-negative,MaxMismatch,-0.010608387,0.1877082
27,9,cuddle,dread,physical-positive,psychological-negative,MaxMismatch,0.20068412,0.2248433
28,35,caress,embarrass,physical-positive,psychological-negative,MaxMismatch,0.16876297,0.20597106
29,47,hug,dismay,physical-positive,psychological-negative,MaxMismatch,0.122835584,0.26101416
30,5,produce,produce,physical-positive,physical-positive,SelfPair,0.99999994,1.0000001
31,13,impress,impress,psychological-positive,psychological-positive,SelfPair,0.99999994,1.0
32,7,twinkle,twinkle,physical-positive,physical-positive,SelfPair,1.0,1.0000001
33,0,cuddle,cuddle,physical-positive,physical-positive,SelfPair,1.0,0.99999994
34,37,dismay,dismay,psychological-negative,psychological-negative,SelfPair,1.0,1.0
35,20,rust,rust,physical-negative,physical-negative,SelfPair,1.0,1.0000001
36,9,clean,clean,physical-positive,physical-positive,SelfPair,1.0,1.0000001
37,19,cherish,cherish,psychological-positive,psychological-positive,SelfPair,1.0,1.0
38,35,embarrass,embarrass,psychological-negative,psychological-negative,SelfPair,1.0,1.0
39,39,dread,dread,psychological-negative,psychological-negative,SelfPair,0.99999994,1.0
40,123,slash,displease,physical-negative,psychological-negative,ValenceMatchingOnly,0.22023493,0.29524493
41,37,caress,admire,physical-positive,psychological-positive,ValenceMatchingOnly,0.27310735,0.28224155
42,4,cuddle,like,physical-positive,psychological-positive,ValenceMatchingOnly,0.20121996,0.22018844
43,138,crash,criticize,physical-negative,psychological-negative,ValenceMatchingOnly,0.049134217,0.13388798
44,145,tear,embarrass,physical-negative,psychological-negative,ValenceMatchingOnly,0.24128093,0.26364893
45,177,stain,dismay,physical-negative,psychological-negative,ValenceMatchingOnly,0.04105791,0.1828979
46,90,clean,content,physical-positive,psychological-positive,ValenceMatchingOnly,0.06923464,0.34165737
47,83,decorate,impress,physical-positive,psychological-positive,ValenceMatchingOnly,0.2248456,0.35459822
48,110,slaughter,offend,physical-negative,psychological-negative,ValenceMatchingOnly,0.19106492,0.19325823
49,169,hit,dread,physical-negative,psychological-negative,ValenceMatchingOnly,0.06246149,0.20662391
