Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Group
lonliness,lonliness,abstract-negative,abstract-negative,SelfPair,A
regret,regret,abstract-negative,abstract-negative,SelfPair,B
anxiety,anxiety,abstract-negative,abstract-negative,SelfPair,C
despair,despair,abstract-negative,abstract-negative,SelfPair,D
guilt,guilt,abstract-negative,abstract-negative,SelfPair,E
grief,grief,abstract-negative,abstract-negative,SelfPair,F
resentment,resentment,abstract-negative,abstract-negative,SelfPair,G
failure,failure,abstract-negative,abstract-negative,SelfPair,H
shame,shame,abstract-negative,abstract-negative,SelfPair,I
envy,envy,abstract-negative,abstract-negative,SelfPair,J
sunshine,sunshine,concrete-positive,concrete-positive,SelfPair,AA
laughter,laughter,concrete-positive,concrete-positive,SelfPair,BB
flowers,flowers,concrete-positive,concrete-positive,SelfPair,CC
music,music,concrete-positive,concrete-positive,SelfPair,DD
beach,beach,concrete-positive,concrete-positive,SelfPair,EE
hug,hug,concrete-positive,concrete-positive,SelfPair,FF
home,home,concrete-positive,concrete-positive,SelfPair,GG
rain,rain,concrete-positive,concrete-positive,SelfPair,HH
chocolate,chocolate,concrete-positive,concrete-positive,SelfPair,II
fireplace,fireplace,concrete-positive,concrete-positive,SelfPair,JJ
love,love,abstract-positive,abstract-positive,SelfPair,AAA
hope,hope,abstract-positive,abstract-positive,SelfPair,BBB
joy,joy,abstract-positive,abstract-positive,SelfPair,CCC
peace,peace,abstract-positive,abstract-positive,SelfPair,DDD
freedom,freedom,abstract-positive,abstract-positive,SelfPair,EEE
kindness,kindness,abstract-positive,abstract-positive,SelfPair,FFF
happiness,happiness,abstract-positive,abstract-positive,SelfPair,GGG
compassion,compassion,abstract-positive,abstract-positive,SelfPair,HHH
gratitude,gratitude,abstract-positive,abstract-positive,SelfPair,III
inspiration,inspiration,abstract-positive,abstract-positive,SelfPair,JJJ
smoke,smoke,concrete-negative,concrete-negative,SelfPair,AAAA
rot,rot,concrete-negative,concrete-negative,SelfPair,BBBB
mud,mud,concrete-negative,concrete-negative,SelfPair,CCCC
vomit,vomit,concrete-negative,concrete-negative,SelfPair,DDDD
garbage,garbage,concrete-negative,concrete-negative,SelfPair,EEEE
rust,rust,concrete-negative,concrete-negative,SelfPair,FFFF
mold,mold,concrete-negative,concrete-negative,SelfPair,GGGG
injury,injury,concrete-negative,concrete-negative,SelfPair,HHHH
stench,stench,concrete-negative,concrete-negative,SelfPair,IIII
filth,filth,concrete-negative,concrete-negative,SelfPair,JJJJ
